,order_id,final_status,reassigned,manual_assingment,orphan,cancelled_reassignment,Any_problem
190,82099860,DeliveredStatus,False,False,False,False,False
191,82133809,DeliveredStatus,False,False,True,True,True
192,81967840,DeliveredStatus,False,False,False,False,False
193,82100101,DeliveredStatus,False,False,False,False,False
194,82142491,DeliveredStatus,False,False,False,False,False
195,82129991,DeliveredStatus,False,False,False,False,False
196,82080934,CanceledStatus,,,,,
197,82136731,CanceledStatus,,,,,
198,82122581,CanceledStatus,,,,,
199,81965871,CanceledStatus,,,,,
200,81965890,CanceledStatus,,,,,
201,82122700,CanceledStatus,,,,,
202,81952289,CanceledStatus,,,,,
203,82113974,CanceledStatus,,,,,
204,82113051,CanceledStatus,,,,,
205,81968671,CanceledStatus,,,,,
206,81971061,DeliveredStatus,True,False,False,False,True
207,81997957,DeliveredStatus,True,False,False,False,True
208,82099135,DeliveredStatus,False,False,False,False,False
209,81942743,DeliveredStatus,False,False,False,False,False
210,81956213,DeliveredStatus,False,False,False,False,False
211,81906523,DeliveredStatus,False,False,False,False,False
212,81956123,DeliveredStatus,False,False,False,False,False
213,82107347,DeliveredStatus,False,False,False,False,False
214,81952754,DeliveredStatus,False,False,False,False,False
215,81960176,DeliveredStatus,False,False,False,False,False
216,81949327,DeliveredStatus,False,False,False,False,False
217,82075092,DeliveredStatus,False,False,False,False,False
218,82032300,DeliveredStatus,False,False,False,False,False
219,82091471,DeliveredStatus,False,False,False,False,False
220,82077243,DeliveredStatus,False,False,False,False,False
221,82078896,DeliveredStatus,False,False,False,False,False
222,81951283,CanceledStatus,,,,,
223,82112123,DeliveredStatus,False,False,False,False,False
224,81964300,DeliveredStatus,False,False,False,False,False
225,81979069,DeliveredStatus,False,False,False,False,False
226,82128980,DeliveredStatus,False,False,False,False,False
227,81960376,DeliveredStatus,False,False,False,False,False
228,81968476,DeliveredStatus,False,False,False,False,False
229,81978968,DeliveredStatus,False,False,False,False,False
230,81968460,DeliveredStatus,False,False,False,False,False
231,81982164,DeliveredStatus,False,False,False,False,False
232,82086566,DeliveredStatus,False,False,False,False,False
233,82088305,DeliveredStatus,False,False,False,False,False
234,81962990,DeliveredStatus,False,False,False,False,False
235,81946700,DeliveredStatus,False,False,False,False,False
236,82060791,DeliveredStatus,False,False,False,False,False
237,82133434,DeliveredStatus,True,False,False,False,True
238,82103704,CanceledStatus,,,,,
239,81946944,DeliveredStatus,False,False,False,False,False
240,82107243,CanceledStatus,,,,,
241,82117800,CanceledStatus,,,,,
242,82119125,CanceledStatus,,,,,
243,82110923,CanceledStatus,,,,,
244,82133814,CanceledStatus,,,,,
245,81934044,DeliveredStatus,False,False,False,False,False
246,82039977,DeliveredStatus,False,False,False,False,False
247,82023674,DeliveredStatus,True,True,False,False,True
248,82086712,DeliveredStatus,False,False,False,False,False
249,81977864,DeliveredStatus,False,False,False,False,False
250,82046957,DeliveredStatus,False,False,True,False,True
251,81944051,DeliveredStatus,False,False,False,False,False
252,82108676,DeliveredStatus,False,False,False,False,False
253,82123405,DeliveredStatus,False,False,False,False,False
254,82088905,DeliveredStatus,False,False,False,False,False
255,82089883,DeliveredStatus,False,False,False,False,False
256,82093688,DeliveredStatus,False,False,False,False,False
257,81930994,DeliveredStatus,True,False,False,False,True
258,82042657,DeliveredStatus,False,False,False,False,False
259,81939693,DeliveredStatus,False,False,False,False,False
260,82090957,DeliveredStatus,False,False,False,False,False
261,81935016,DeliveredStatus,False,False,False,False,False
262,82082023,DeliveredStatus,False,False,False,False,False
263,82020206,DeliveredStatus,False,False,False,False,False
264,82122497,DeliveredStatus,False,False,False,False,False
265,81937567,DeliveredStatus,False,False,False,False,False
266,81975797,DeliveredStatus,False,False,False,False,False
267,81993282,DeliveredStatus,False,False,False,False,False
268,81952156,DeliveredStatus,False,False,False,False,False
269,82135804,DeliveredStatus,False,False,False,False,False
270,81974930,DeliveredStatus,False,False,False,False,False
271,82017896,DeliveredStatus,False,False,False,False,False
272,81933314,DeliveredStatus,False,False,False,False,False
273,81956720,DeliveredStatus,False,False,False,False,False
274,82073217,DeliveredStatus,False,False,False,False,False
275,82130530,CanceledStatus,,,,,
276,82120814,CanceledStatus,,,,,
277,82092267,CanceledStatus,,,,,
278,81957012,CanceledStatus,,,,,
279,82091928,CanceledStatus,,,,,
280,81982587,CanceledStatus,,,,,
281,81931852,DeliveredStatus,False,False,False,False,False
282,82118331,DeliveredStatus,False,False,True,True,True
283,81994316,DeliveredStatus,True,False,False,False,True
